freq,indic_is,unit,ind_type,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,I_IUX,PC_IND,IND_TOTAL,AL	: 	: 	: 	: 	: 	: 	: 	33 	27 	: 
A,I_IUX,PC_IND,IND_TOTAL,AT	18 	17 	16 	15 	13 	13 	10 	10 	10 	8 
A,I_IUX,PC_IND,IND_TOTAL,BA	: 	: 	: 	: 	: 	: 	: 	24 	26 	23 
A,I_IUX,PC_IND,IND_TOTAL,BE	14 	15 	15 	13 	13 	11 	10 	9 	7 	6 
A,I_IUX,PC_IND,IND_TOTAL,BG	46 	42 	41 	37 	35 	33 	30 	27 	24 	21 
A,I_IUX,PC_IND,IND_TOTAL,CH	: 	: 	: 	8 	: 	: 	4 b	: 	3 	: 
A,I_IUX,PC_IND,IND_TOTAL,CY	41 	36 	32 	28 	26 	23 	18 	15 	13 	9 
A,I_IUX,PC_IND,IND_TOTAL,CZ	24 	18 	17 	16 	13 	13 	11 	10 	9 	8 
A,I_IUX,PC_IND,IND_TOTAL,DE	16 	15 	13 	11 	10 	8 	7 	5 	5 	4 
A,I_IUX,PC_IND,IND_TOTAL,DK	7 	6 	4 	3 	3 	2 	2 	2 	2 	1 
A,I_IUX,PC_IND,IND_TOTAL,EA	24 	22 	20 	18 	16 	14 	13 	11 	9 	8 e
A,I_IUX,PC_IND,IND_TOTAL,EE	20 	20 	16 	12 b	9 	10 	9 	8 	7 	9 
A,I_IUX,PC_IND,IND_TOTAL,EL	45 	42 	36 	33 	30 	28 	28 	25 	22 	20 
A,I_IUX,PC_IND,IND_TOTAL,ES	29 	27 	24 	21 	19 	17 	14 	13 	8 	6 
A,I_IUX,PC_IND,IND_TOTAL,EU15	21 	20 	18 	15 	14 	12 	11 	9 	: 	: 
A,I_IUX,PC_IND,IND_TOTAL,EU27_2007	24 	22 	20 	18 	16 	14 	13 	11 	: 	: 
A,I_IUX,PC_IND,IND_TOTAL,EU27_2020	26 	24 	22 	20 	18 	16 	14 	12 	10 	9 e
A,I_IUX,PC_IND,IND_TOTAL,EU28	24 	23 	20 	18 	16 	14 	13 	11 	9 	: 
A,I_IUX,PC_IND,IND_TOTAL,FI	9 	7 	6 	6 	5 	4 	5 	4 	3 	2 
A,I_IUX,PC_IND,IND_TOTAL,FR	18 	15 	14 	12 	11 	10 	10 	8 	7 	: 
A,I_IUX,PC_IND,IND_TOTAL,HR	39 	35 	29 	28 	26 	23 	28 	21 	18 	17 
A,I_IUX,PC_IND,IND_TOTAL,HU	29 	26 	24 	22 	21 	19 	17 	16 	14 	12 
A,I_IUX,PC_IND,IND_TOTAL,IE	21 	18 	18 	16 	16 	15 	16 	16 	9 	6 
A,I_IUX,PC_IND,IND_TOTAL,IS	4 	3 	3 	1 	: 	: 	1 	1 	0 n	0 n
A,I_IUX,PC_IND,IND_TOTAL,IT	39 	37 	34 	32 	28 	25 	22 	19 	17 	: 
A,I_IUX,PC_IND,IND_TOTAL,LT	34 	31 	29 	25 	25 	22 	19 	17 	15 	14 
A,I_IUX,PC_IND,IND_TOTAL,LU	8 	6 	5 	4 	2 	2 	2 	3 b	3 	1 
A,I_IUX,PC_IND,IND_TOTAL,LV	27 	24 	22 	21 	18 	17 b	16 	13 	12 	8 
A,I_IUX,PC_IND,IND_TOTAL,ME	: 	37 	: 	: 	: 	: 	24 	23 	20 	19 
A,I_IUX,PC_IND,IND_TOTAL,MK	: 	39 	33 	29 	26 	23 	21 	18 	17 	: 
A,I_IUX,PC_IND,IND_TOTAL,MT	30 	29 	28 	24 	21 	21 	18 	17 	13 	12 
A,I_IUX,PC_IND,IND_TOTAL,NL	7 	6 	5 	5 	4 	5 	3 	4 	2 	4 
A,I_IUX,PC_IND,IND_TOTAL,NO	5 	4 	3 	3 	1 	2 	1 	1 	1 	1 
A,I_IUX,PC_IND,IND_TOTAL,PL	33 	32 	32 	28 	27 	22 	20 	18 	15 	13 
A,I_IUX,PC_IND,IND_TOTAL,PT	41 	34 	33 	30 	28 	26 	22 	23 	22 	18 
A,I_IUX,PC_IND,IND_TOTAL,RO	54 	48 	42 	39 b	32 	30 	27 	21 	18 	14 
A,I_IUX,PC_IND,IND_TOTAL,RS	: 	: 	: 	: 	31 	: 	26 	24 	19 	17 
A,I_IUX,PC_IND,IND_TOTAL,SE	5 	5 	4 	6 	5 	3 b	2 	4 	2 	1 
A,I_IUX,PC_IND,IND_TOTAL,SI	29 	28 	23 	24 	22 	22 	18 	16 	13 	11 
A,I_IUX,PC_IND,IND_TOTAL,SK	20 	18 	15 	15 	16 	15 	14 	13 	12 	7 
A,I_IUX,PC_IND,IND_TOTAL,TR	: 	53 	51 	46 	44 	39 	33 	27 	25 	21 
A,I_IUX,PC_IND,IND_TOTAL,UK	11 	10 	8 	6 	6 	4 	4 	4 	3 	2 
A,I_IUX,PC_IND,IND_TOTAL,XK	: 	: 	: 	: 	: 	: 	13 	11 	8 	2 
